"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Ellie Brazil",20,1,5,10,2,0,2,0,0,1,0,18.053191945,11,6,3,14,1,3,2,0,0,93.595,43.92,99.545,39.875,32.5796032039711,23.4039519001565,"20"
"Emma Follis",15,1,4,8,1,0,0,0,0,2,0,17.0424284,10,2,3,14,0,1,0,0,0,100.6,48.2666666666667,98.8,44.6,30.7977011939839,25.5578586288572,"20"
"Erin Simon",5,1,0,3,1,0,1,0,0,0,0,25.542877,2,2,1,4,1,0,0,0,0,84.38,52.54,96.66,45.58,46.2508446914835,27.2991432924158,"10"
"Felicity Gibbons",18,1,5,9,1,0,1,2,0,0,0,24.1912956666667,7,8,3,2,0,13,3,0,0,88.9777777777778,18.1,99.0888888888889,30.9277777777778,44.0572452357836,26.8174238133422,"20"
"Hannah Cain",16,1,7,6,1,0,1,0,0,1,0,17.902714675,11,2,3,12,0,3,1,0,0,98.6375,39.1125,102.48125,37.74375,30.3016055756038,21.2380837335959,"20"
"Hannah Short",12,1,0,0,9,0,2,1,0,0,0,38.6078055,1,10,1,10,1,1,0,0,0,74.3333333333333,43.25,105.916666666667,40.75,50.0914770309508,15.4750809842735,"20"
"Hayley Ladd",25,1,3,10,4,0,2,6,0,0,0,28.794459272,11,14,0,20,0,5,0,0,0,93.92,43.324,101.364,40.1,40.0224076599195,22.5810472180543,"30"
"Iniabasi Anefiok Umotong",22,1,2,14,4,0,0,0,0,2,0,17.3849030863636,10,4,8,19,1,0,2,0,0,104.368181818182,41.2227272727273,100.881818181818,42.1636363636364,26.0210482384023,21.4347119938931,"30"
"Jackie Groenen",24,1,3,11,1,0,5,2,0,2,0,20.8934011583333,19,4,1,19,0,4,0,1,0,87.1291666666667,43.0125,97.9875,37.0083333333333,37.463036293165,25.8350766080673,"30"
"Jade Bailey",17,1,2,5,2,0,0,7,0,1,0,27.5435171176471,10,6,1,14,0,3,0,0,0,100.035294117647,43.2705882352941,99.1,39.7764705882353,38.9310180684568,24.1829226039653,"20"
"Jasmine Matthews",7,1,0,4,0,0,1,1,0,0,1,34.0362661428571,3,4,0,0,0,7,0,0,0,64.1571428571429,19.2571428571429,94.0428571428571,22.4142857142857,60.9845561364165,31.6838110894729,"10"
"Jill Roord",9,1,2,3,3,0,1,0,0,0,0,18.1274228888889,8,0,1,3,0,6,0,0,0,88.6111111111111,36.0111111111111,97.5777777777778,34.2,32.3926129273594,25.6653512688092,"10"
"Kerys Harrop",4,1,2,1,0,0,0,1,0,0,0,22.03314775,1,2,1,0,0,3,1,0,0,91.55,14.6,95.05,20.45,43.1700433733183,33.5189021980982,"10"
"Kirsty Hanson",7,1,1,3,2,1,0,0,0,0,0,24.4528855714286,2,3,2,3,0,4,0,0,0,102.614285714286,61.2142857142857,106.457142857143,38.9285714285714,32.012861700351,17.1903808781675,"10"
"Kirsty Linnett",6,1,2,4,0,0,0,0,0,0,0,22.0546171666667,2,2,2,4,0,0,2,0,0,96.1666666666667,44.8,90.9833333333333,46.5166666666667,34.617819126904,33.1631784119555,"10"
"Kirstyn Pearce",5,1,0,2,1,0,0,0,1,1,0,41.256228,1,3,1,5,0,0,0,0,0,53.2,60.4,92.2,50.6,70.8516128927817,31.494767659046,"10"
"Kit Graham",19,1,1,12,1,0,0,2,1,2,0,21.4231411631579,12,4,3,3,3,13,0,0,0,87.1315789473684,47.3368421052632,91.6210526315789,33.8368421052632,39.7992095863207,33.3259127061711,"20"
"Laura Rafferty",2,1,0,0,0,0,0,2,0,0,0,7.29292625,1,0,1,2,0,0,0,0,0,102.5,39.5,101.5,41.5,20.182226450689,18.9154759474226,"10"
"Leanne Kiernan",3,1,1,1,0,0,0,1,0,0,0,25.1753693333333,1,2,0,2,0,1,0,0,0,115,35,111.666666666667,38.3333333333333,22.9607966275756,9.92324040325478,"10"
"Leigh-Anne Robe",10,1,4,4,0,0,1,1,0,0,0,24.3253914,5,3,2,5,0,3,2,0,0,82.07,28.43,96.58,24.42,46.8249334782558,30.3269645393219,"10"
"Loren Dykes",5,1,3,2,0,0,0,0,0,0,0,30.1026918,0,3,2,5,0,0,0,0,0,92.66,68.82,104.46,43.72,41.8043752019838,16.7257355075903,"10"
"Lucy Quinn",14,1,2,6,1,0,2,3,0,0,0,19.2193651357143,8,4,2,13,0,0,1,0,0,99.2571428571429,40.4714285714286,100.228571428571,35.4,32.4787517415965,22.9883968001196,"20"
"Magdalena Ericsson",12,1,4,6,0,0,2,0,0,0,0,31.5175899166667,5,4,3,1,1,10,0,0,0,64.975,24.45,91.825,32.2583333333333,59.1888510310002,31.3626283958509,"20"
"Maren Nævdal Mjelde",31,1,3,14,0,0,2,11,0,1,0,27.4584846580645,13,15,3,27,2,2,0,0,0,97.3193548387097,53.3451612903226,103.21935483871,44.6838709677419,38.4052111929366,20.501516260624,"40"
"Martha Thomas",10,1,4,5,0,1,0,0,0,0,0,21.51691785,3,0,7,5,1,3,1,0,0,98.76,45.27,101.36,42.53,30.1905937181313,20.3045363772401,"10"
